state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,year_2
Alabama,Jefferson,1995,365,219,87,31,23,5,0,222,140,46,86,0,215,0,64,1995
Arizona,Gila,1995,141,126,15,0,0,0,0,99,51,28,0,0,0,83,58,1995
Arizona,Maricopa,1995,365,52,224,72,17,0,0,185,126,74,69,106,182,0,8,1995
Arizona,Yavapai,1995,60,59,1,0,0,0,0,58,31,18,0,0,0,0,60,1995
Arkansas,Arkansas,1995,57,52,5,0,0,0,0,66,48,22,0,0,0,0,57,1995
Arkansas,Pulaski,1995,365,255,68,36,6,0,0,187,101,42,46,45,268,0,6,1995
California,Butte,1995,365,269,87,8,1,0,0,151,77,39,32,105,221,0,7,1995
California,Contra Costa,1995,365,290,57,12,4,2,0,209,67,39,3,152,206,0,4,1995
California,Fresno,1995,365,136,108,59,48,14,0,222,172,68,23,111,220,0,11,1995
California,Imperial,1995,365,99,147,67,40,12,0,250,164,76,28,63,252,0,22,1995
California,Kern,1995,365,109,100,51,71,34,0,230,197,86,1,57,279,0,28,1995
California,Kings,1995,364,212,128,23,1,0,0,163,93,46,0,103,234,0,27,1995
California,Los Angeles,1995,365,44,107,109,45,60,0,256,212,107,29,161,173,0,2,1995
California,Madera,1995,364,222,90,39,13,0,0,192,115,43,0,0,347,0,17,1995
California,Mariposa,1995,365,201,84,59,21,0,0,195,136,47,0,0,363,2,0,1995
California,Mendocino,1995,365,359,6,0,0,0,0,84,42,31,31,47,270,0,17,1995
California,Merced,1995,362,190,79,59,30,4,0,209,147,49,0,35,313,0,14,1995
California,Monterey,1995,365,339,25,1,0,0,0,122,48,35,0,42,317,0,6,1995
California,Nevada,1995,303,194,80,26,3,0,0,166,100,44,0,0,303,0,0,1995
California,Orange,1995,365,128,165,65,6,1,0,204,109,61,3,225,133,0,4,1995
California,Placer,1995,365,213,91,36,21,4,0,215,126,46,3,120,240,0,2,1995
California,Riverside,1995,365,82,112,71,47,53,0,259,206,93,5,90,230,0,40,1995
California,Sacramento,1995,365,190,121,25,21,8,0,224,143,50,45,79,221,0,20,1995
California,San Diego,1995,365,108,127,88,35,7,0,218,154,77,0,95,269,0,1,1995
California,San Luis Obispo,1995,365,253,87,24,1,0,0,154,90,42,1,35,322,0,7,1995
California,Santa Barbara,1995,365,150,157,45,11,2,0,214,119,54,7,30,327,0,1,1995
California,Santa Cruz,1995,365,340,25,0,0,0,0,100,47,36,0,9,337,0,19,1995
California,Sutter,1995,365,228,85,37,15,0,0,195,115,44,12,84,250,0,19,1995
California,Tulare,1995,365,139,88,88,46,4,0,207,164,75,3,87,245,20,10,1995
California,Ventura,1995,365,134,103,63,43,22,0,241,179,67,0,65,298,0,2,1995
Colorado,Denver,1995,365,166,190,9,0,0,0,136,77,52,36,251,69,0,9,1995
Colorado,Pueblo,1995,51,48,3,0,0,0,0,73,42,20,0,0,0,0,51,1995
Colorado,Teller,1995,96,67,23,4,2,0,0,176,76,36,0,0,0,0,96,1995
Connecticut,New Haven,1995,365,260,79,14,6,6,0,238,84,43,2,203,135,0,25,1995
Country Of Mexico,BAJA CALIFORNIA NORTE,1995,31,21,8,2,0,0,0,102,90,46,2,24,5,0,0,1995
Country Of Mexico,SONORA,1995,70,39,31,0,0,0,0,96,78,46,0,0,0,0,70,1995
Delaware,New Castle,1995,365,238,81,23,17,6,0,232,122,43,13,116,218,0,18,1995
Florida,Miami-Dade,1995,365,285,66,12,2,0,0,156,67,41,10,49,259,41,6,1995
Florida,Osceola,1995,365,321,41,3,0,0,0,119,54,37,0,0,365,0,0,1995
Florida,St. Johns,1995,354,327,23,3,1,0,0,161,48,34,0,0,354,0,0,1995
Georgia,DeKalb,1995,365,237,65,38,19,6,0,225,133,43,9,146,206,0,4,1995
Georgia,Douglas,1995,276,165,62,35,10,4,0,215,129,44,0,0,264,0,12,1995
Georgia,Elbert,1995,42,42,0,0,0,0,0,45,32,24,0,0,0,0,42,1995
Georgia,Fulton,1995,365,230,82,32,11,10,0,224,129,43,70,125,160,0,10,1995
Georgia,Gwinnett,1995,219,106,79,24,9,1,0,204,115,51,0,0,219,0,0,1995
Georgia,Muscogee,1995,280,173,74,26,7,0,0,185,108,45,0,0,274,0,6,1995
Idaho,Bannock,1995,365,337,28,0,0,0,0,72,45,33,0,182,23,0,160,1995
Idaho,Canyon,1995,59,49,10,0,0,0,0,64,60,34,0,0,0,0,59,1995
Idaho,Shoshone,1995,121,101,20,0,0,0,0,81,57,25,0,0,0,0,121,1995
Illinois,Cook,1995,365,165,164,14,18,4,0,222,100,52,4,258,75,0,28,1995
Illinois,Madison,1995,365,202,117,23,22,1,0,202,115,46,9,0,244,0,112,1995
Illinois,Tazewell,1995,58,58,0,0,0,0,0,49,39,19,0,0,0,0,58,1995
Indiana,Clark,1995,207,105,56,29,14,3,0,209,143,50,0,0,177,0,30,1995
Indiana,Floyd,1995,183,88,55,27,13,0,0,185,140,54,0,0,183,0,0,1995
Indiana,Hamilton,1995,183,86,56,29,11,1,0,206,133,51,0,0,183,0,0,1995
Indiana,Hancock,1995,182,101,51,23,7,0,0,197,115,47,0,0,182,0,0,1995
Indiana,Lake,1995,365,220,107,24,11,3,0,225,101,44,5,181,115,0,64,1995
Indiana,Marion,1995,365,226,89,35,14,1,0,201,115,44,20,153,154,0,38,1995
Indiana,Warrick,1995,212,89,70,39,12,2,0,203,140,64,0,0,183,0,29,1995
Iowa,Black Hawk,1995,55,50,5,0,0,0,0,68,48,31,0,0,0,0,55,1995
Kentucky,Bell,1995,365,279,69,16,1,0,0,151,80,35,145,0,205,0,15,1995
Kentucky,Bullitt,1995,364,272,70,18,4,0,0,200,84,36,0,162,199,0,3,1995
Kentucky,Carter,1995,47,43,4,0,0,0,0,57,49,27,0,0,0,0,47,1995
Kentucky,Daviess,1995,365,265,72,24,4,0,0,177,90,35,10,128,185,0,42,1995
Kentucky,Jefferson,1995,365,230,94,27,14,0,0,197,108,43,39,144,175,0,7,1995
Kentucky,Lawrence,1995,222,159,48,12,2,1,0,204,87,41,0,0,195,0,27,1995
Kentucky,Oldham,1995,205,123,55,19,8,0,0,166,119,46,0,0,205,0,0,1995
Kentucky,Pike,1995,230,140,63,21,6,0,0,200,119,45,0,0,204,0,26,1995
Louisiana,St. Bernard,1995,352,270,62,19,1,0,0,156,84,37,0,0,352,0,0,1995
Maryland,Anne Arundel,1995,364,239,60,36,22,7,0,244,133,37,0,6,351,0,7,1995
Maryland,Baltimore (City),1995,365,261,56,26,16,6,0,221,112,40,42,175,133,0,15,1995
Maryland,Dorchester,1995,54,9,14,17,14,0,0,190,174,115,0,0,54,0,0,1995
Michigan,Allegan,1995,274,185,49,26,10,4,0,260,126,40,0,92,182,0,0,1995
Michigan,Clinton,1995,183,151,24,8,0,0,0,133,74,40,0,0,183,0,0,1995
Michigan,Monroe,1995,61,59,2,0,0,0,0,54,37,20,0,0,0,0,61,1995
Michigan,Muskegon,1995,183,118,35,17,9,4,0,251,126,44,0,0,183,0,0,1995
Michigan,Wayne,1995,365,232,116,11,6,0,0,185,76,43,13,147,74,0,131,1995
Minnesota,Sherburne,1995,61,61,0,0,0,0,0,40,29,12,0,0,0,0,61,1995
Missouri,Buchanan,1995,175,144,31,0,0,0,0,81,57,24,0,0,0,0,175,1995
Missouri,Cole,1995,29,29,0,0,0,0,0,45,23,12,0,0,0,0,29,1995
Missouri,Saint Louis,1995,365,239,78,23,24,1,0,208,115,44,0,213,150,0,2,1995
Missouri,St. Louis City,1995,365,244,95,22,3,1,0,208,85,43,4,226,110,0,25,1995
Montana,Park,1995,87,85,2,0,0,0,0,90,27,9,0,0,0,0,87,1995
Nebraska,Buffalo,1995,58,50,8,0,0,0,0,80,55,20,0,0,0,0,58,1995
Nebraska,Douglas,1995,365,305,52,8,0,0,0,147,64,33,125,0,164,0,76,1995
New Jersey,Hudson,1995,365,234,100,17,12,2,0,209,87,44,84,188,89,0,4,1995
New Mexico,Bernalillo,1995,365,205,154,6,0,0,0,136,77,49,53,37,214,0,61,1995
New Mexico,Dona Ana,1995,365,123,214,24,4,0,0,178,97,57,4,0,184,0,177,1995
New York,Greene,1995,60,60,0,0,0,0,0,35,22,14,0,0,0,0,60,1995
New York,Rockland,1995,13,13,0,0,0,0,0,21,20,11,0,0,0,0,13,1995
North Carolina,Avery,1995,271,148,99,24,0,0,0,143,100,49,0,0,271,0,0,1995
North Carolina,Caldwell,1995,213,91,95,26,1,0,0,166,105,61,0,0,213,0,0,1995
North Carolina,Caswell,1995,213,136,60,13,4,0,0,187,97,44,0,0,213,0,0,1995
North Carolina,Catawba,1995,58,57,1,0,0,0,0,51,33,20,0,0,0,0,58,1995
North Carolina,Davidson,1995,61,59,2,0,0,0,0,54,36,25,0,0,0,0,61,1995
North Carolina,Davie,1995,15,15,0,0,0,0,0,25,23,16,0,0,0,0,15,1995
North Carolina,Franklin,1995,214,125,65,24,0,0,0,129,101,47,1,0,213,0,0,1995
North Carolina,Granville,1995,238,110,68,52,8,0,0,179,133,58,0,0,212,0,26,1995
North Carolina,Halifax,1995,52,52,0,0,0,0,0,48,32,19,0,0,0,0,52,1995
North Carolina,Haywood,1995,252,117,107,24,4,0,0,195,101,54,0,0,188,44,20,1995
North Carolina,Mecklenburg,1995,365,234,82,36,13,0,0,187,115,44,73,90,198,0,4,1995
North Carolina,Rockingham,1995,210,152,54,4,0,0,0,140,80,44,0,0,210,0,0,1995
North Carolina,Rowan,1995,229,111,76,30,11,1,0,205,133,51,2,0,203,0,24,1995
North Carolina,Yancey,1995,170,40,77,39,14,0,0,200,143,80,0,0,170,0,0,1995
Ohio,Butler,1995,365,242,70,39,13,1,0,217,115,40,0,0,339,0,26,1995
Ohio,Cuyahoga,1995,365,201,127,29,8,0,0,190,101,47,16,135,91,0,123,1995
Ohio,Franklin,1995,365,277,60,22,5,1,0,203,90,35,68,0,188,0,109,1995
Ohio,Hamilton,1995,365,234,93,22,14,2,0,216,105,42,7,185,148,0,25,1995
Ohio,Jefferson,1995,365,230,104,19,12,0,0,190,93,44,4,107,178,0,76,1995
Ohio,Medina,1995,204,114,62,21,7,0,0,185,122,47,0,0,204,0,0,1995
Ohio,Scioto,1995,347,337,10,0,0,0,0,59,40,22,0,120,0,0,227,1995
Oklahoma,Muskogee,1995,283,277,5,1,0,0,0,125,32,17,0,236,0,0,47,1995
Oklahoma,Oklahoma,1995,365,234,90,34,7,0,0,195,105,44,47,62,252,0,4,1995
Oregon,Deschutes,1995,214,187,27,0,0,0,0,77,53,30,93,0,0,0,121,1995
Pennsylvania,Allegheny,1995,365,173,143,29,11,9,0,221,115,51,3,154,119,0,89,1995
Pennsylvania,Philadelphia,1995,365,156,144,45,12,8,0,243,122,57,8,222,102,0,33,1995
South Carolina,Cherokee,1995,244,142,78,23,1,0,0,177,100,47,0,0,244,0,0,1995
South Carolina,Greenville,1995,365,293,72,0,0,0,0,74,55,38,14,153,0,0,198,1995
Tennessee,Anderson,1995,194,79,69,35,11,0,0,187,140,58,0,0,194,0,0,1995
Tennessee,Giles,1995,4,4,0,0,0,0,0,21,21,21,0,0,0,0,4,1995
Tennessee,Jefferson,1995,213,56,79,53,23,2,0,212,151,84,0,0,213,0,0,1995
Tennessee,Knox,1995,365,262,70,22,10,1,0,202,93,37,140,0,197,0,28,1995
Tennessee,Loudon,1995,61,61,0,0,0,0,0,33,28,21,7,51,0,0,3,1995
Tennessee,Putnam,1995,151,127,20,4,0,0,0,147,71,34,0,0,128,0,23,1995
Tennessee,Sevier,1995,264,85,102,62,14,1,0,203,129,74,0,0,264,0,0,1995
Tennessee,Shelby,1995,365,209,108,33,12,3,0,205,119,48,42,158,158,0,7,1995
